PisoOficina,UUID,Active
P1O1,,False
P1O2,"04b9cf42b46d80,0463ad42b46d80",True
P1O3,,False
P1O4,,False
P1O5,04034842b46d81,True
"P2O1,P2O2,P2O3","043a8a42b46d80,044042632a5580,046c44fb6e4280",True
"P2O4,P2O5",,False
P3O1,04858842b46d80,True
P3O2,041f9842b46d81,True
P3O3,04c38742b46d80,True
P3O4,,False
P3O5,,False
"P4O1,P4O2,P4O3",0449e242b46d81,True
P4O4,,False
P4O5,,False
P5O1,,False
P5O2,,False
P5O3,04c2a242b46d80,True
"P5O4,P5O5",04439f42b46d80,False
P6O1,,True
P6O2,041eda42b46d81,True
"P6O3,P6O4",04389f42b46d80,True
P6O5,,False
P7O1,,False
P7O2,,False
P7O3,0487cb42b46d80,True
"P7O4,P7O5",04860b42b46d84,True
"P8O1,P8O2",0435c442b46d80,True
P8O3,,False
P8O4,,False
P8O5,,False
"P9O1,P9O2,P9O3,P9O4,P9O5",,False
